Pup_ID,Date,Temp,ObsID,LitterID,Age,Sex,Weight,Headlength
1,2007-04-01,6.32,2,2,13,F,6.3,19.7
2,2007-04-02,5.62,2,370,13,F,6.6,19.4
3,2007-04-02,5.62,2,370,13,F,6.2,19.8
4,2007-04-02,5.62,2,370,13,F,6.2,20.2
5,2007-04-02,5.62,2,370,13,F,6.2,19.2
6,2007-04-02,5.62,2,370,13,M,7.4,20
7,2007-04-05,8.13,2,371,13,M,6.6,19.2
8,2007-04-05,8.13,2,371,13,M,6.8,20.6
9,2007-04-05,8.13,2,371,13,F,6.6,20.7
10,2007-04-08,9.96,2,372,13,M,7.2,21.7
11,2007-04-08,9.96,2,372,13,M,6.5,20.9
12,2007-04-08,9.96,2,372,13,M,6.9,20.4
13,2007-04-08,9.96,2,372,13,F,7,19.9
14,2007-04-11,12.39,2,373,13,M,7.8,21.5
15,2007-04-11,12.39,2,373,13,F,7.3,20.9
16,2007-04-11,12.39,2,373,13,M,7.5,21.4
17,2007-04-11,12.39,2,373,13,F,7.7,21.3
18,2007-04-16,15.07,2,3,13,M,6.4,20.6
19,2007-04-16,15.07,2,3,13,M,6.5,20.8
20,2007-04-16,15.07,2,3,13,F,6.5,19.6
21,2007-04-16,15.07,2,3,13,M,6.4,21.2
22,2007-04-16,15.07,2,3,13,M,6.6,20.7
23,2007-04-16,15.07,2,3,13,M,6.4,20.5
24,2007-04-16,15.07,2,7,13,M,6.9,20.9
25,2007-04-16,15.07,2,7,13,M,6.6,20.7
26,2007-04-16,15.07,2,7,13,M,6.6,21.7
27,2007-04-16,15.07,2,7,13,F,6.3,20.8
28,2007-04-16,15.07,2,7,13,F,6.3,20.2
29,2007-04-18,13.03,2,5,13,M,6.1,20.1
30,2007-04-18,13.03,2,5,13,M,5.7,19.6
31,2007-04-18,13.03,2,5,13,F,6,18.7
32,2007-04-18,13.03,2,5,13,M,6.4,20.2
33,2007-04-18,13.03,2,5,13,F,6.1,20.6
34,2007-04-19,11.43,2,4,13,M,8.5,21
35,2007-04-19,11.43,2,4,13,M,8,19.9
36,2007-04-19,11.43,2,4,13,M,7.6,20.2
37,2007-04-19,11.43,2,4,13,F,8.1,20.5
38,2007-04-19,11.43,2,375,12.5,M,3.9,19.3
39,2007-04-19,11.43,2,374,13,M,4.8,19.3
40,2007-04-19,11.43,2,374,13,M,5,17.9
41,2007-04-19,11.43,2,375,12,F,4.4,19.1
42,2007-04-22,14.23,2,6,14,F,8.9,20.8
43,2007-04-22,14.23,2,6,14,F,9.5,22.1
44,2007-04-22,14.23,2,6,14,M,9.4,21.7
45,2007-05-01,13.75,2,9,13,F,8.1,21.1
46,2007-05-01,13.75,2,9,13,F,8.1,20.1
47,2007-05-01,13.75,2,9,13,F,8.2,19.5
48,2007-05-01,13.75,2,9,13,M,7.8,19.9
49,2007-05-01,13.75,2,9,13,M,8,19.4
50,2007-05-02,13.19,2,376,13,M,6.6,20.5
51,2007-05-02,13.19,2,376,13,F,6.6,20.1
52,2007-05-02,13.19,2,8,14,M,7.4,20.9
53,2007-05-02,13.19,2,8,14,M,8.1,20.9
54,2007-05-02,13.19,2,8,14,M,7.5,19.8
55,2007-05-02,13.19,2,8,14,F,7.6,20.5
56,2007-05-02,13.19,2,8,14,F,7.1,20.3
57,2007-05-06,11.64,2,10,14,F,6.9,20.8
58,2007-05-06,11.64,2,10,14,F,7,21.7
59,2007-05-12,15.19,2,377,13,M,6.6,18.3
60,2007-05-12,15.19,2,377,13,M,6.2,19.4
61,2007-05-12,15.19,2,377,13,F,6.7,19.8
62,2007-05-13,15.72,2,11,13,M,6.4,19.7
63,2007-05-13,15.72,2,11,13,M,6.6,20.1
64,2007-05-13,15.72,2,11,13,F,6.1,20.5
65,2007-05-13,15.72,2,11,13,F,6,19.4
66,2007-05-17,10.14,2,15,13,F,7,19.4
67,2007-05-19,13.93,2,13,14,M,7.8,21.5
68,2007-05-19,13.93,2,13,14,F,6.8,20.2
69,2007-05-19,13.93,2,13,14,F,7.7,19.9
70,2007-05-19,13.93,2,13,14,M,7.6,21.1
71,2007-05-19,13.93,2,13,14,F,7.5,20.9
72,2007-05-19,13.93,2,14,14,F,7.8,21.1
73,2007-05-19,13.93,2,14,14,M,8.3,21.4
74,2007-05-19,13.93,2,14,14,F,7.7,21.1
75,2007-05-19,13.93,2,14,14,F,8.2,21
76,2007-05-19,13.93,2,14,14,F,7.9,21.5
77,2007-05-19,13.93,2,14,14,F,8,22.1
78,2007-05-19,13.93,2,378,13,M,7.7,19.9
79,2007-05-19,13.93,2,378,13,M,7.9,20
80,2007-05-19,13.93,2,378,13,F,7.3,20.3
81,2007-05-22,17.71,2,12,13,M,6.7,19.6
82,2007-05-22,17.71,2,12,13,F,6.3,20.2
83,2007-05-22,17.71,2,12,13,F,6.3,19.7
84,2007-05-22,17.71,2,12,13,M,4.1,18.6
85,2007-05-22,17.71,2,12,13,F,6.5,21.1
86,2007-05-22,17.71,2,12,13,F,6.3,20.5
87,2007-05-22,17.71,2,12,13,M,6.8,20.6
88,2007-05-22,17.71,2,12,13,M,6.1,19.1
89,2007-05-22,17.71,2,12,13,F,4.4,18.5
90,2007-05-26,18.72,1,17,13,F,7.4,19.7
91,2007-05-26,18.72,1,17,13,F,7.2,20.5
92,2007-05-26,18.72,1,17,13,F,7.5,20.6
93,2007-05-26,18.72,1,17,13,F,7.7,20.9
94,2007-05-26,18.72,1,379,14,M,8.3,22.1
95,2007-05-26,18.72,1,379,14,F,8.9,21.3
96,2007-05-26,18.72,1,379,14,F,8.7,21.3
97,2007-05-26,18.72,1,379,14,M,8.8,21.8
98,2007-05-27,15.90,2,19,13,F,8.3,20.7
99,2007-05-27,15.90,2,19,13,F,8.4,20.8
100,2007-05-27,15.90,2,19,13,F,7.2,19.9
101,2007-05-27,15.90,2,19,13,F,8.1,21
102,2007-05-27,15.90,2,19,13,F,7.9,19.1
103,2007-05-27,15.90,2,18,13,M,5.1,20.2
104,2007-05-27,15.90,2,18,13,M,5.1,20
105,2007-05-27,15.90,2,18,13,F,4.8,20
106,2007-05-27,15.90,2,18,13,F,5.3,20.7
107,2007-05-27,15.90,2,18,13,F,5.1,19.2
108,2007-05-30,9.60,2,16,14,M,4.4,19.1
109,2007-05-30,9.60,2,16,14,F,4.5,19.3
110,2007-05-30,9.60,2,16,14,F,3.7,18.8
111,2007-06-02,11.01,2,380,13,M,10,21.2
112,2007-06-02,11.01,2,380,13,F,9.6,21.4
113,2007-06-02,11.01,2,380,13,F,9.7,21.5
114,2007-06-02,11.01,2,380,13,F,8.5,22
115,2007-06-02,11.01,2,20,13,M,7.3,20.4
116,2007-06-02,11.01,2,20,13,M,7.5,20.6
117,2007-06-02,11.01,2,20,13,M,7.7,20.8
118,2007-06-02,11.01,2,20,13,M,7.3,20.5
119,2007-06-02,11.01,2,20,13,M,7.4,20.4
120,2007-06-02,11.01,2,20,13,M,7.9,20.4
121,2007-06-02,11.01,2,20,13,M,7.4,20.7
122,2007-06-02,11.01,2,20,13,F,7,20.3
123,2007-06-02,11.01,2,20,13,F,7.6,20.4
124,2007-06-02,11.01,2,20,13,M,7.8,20.3
125,2007-06-02,11.01,2,20,13,M,7,20.2
126,2007-06-02,11.01,2,20,13,F,7.2,20.4
127,2007-06-02,11.01,2,20,13,F,7.2,20.3
128,2007-06-02,11.01,2,20,13,F,7.4,20.2
129,2007-06-16,15.14,2,381,13,M,7,21.5
130,2007-06-16,15.14,2,381,13,F,7.5,20.3
131,2007-06-16,15.14,2,381,13,F,7.8,21
132,2007-06-16,15.14,2,381,13,M,7.8,20.9
133,2007-06-16,15.14,2,381,13,M,7.7,20.3
134,2007-06-16,15.14,2,381,13,F,7,19.8
135,2007-06-16,15.14,2,23,13,M,5.9,19.8
136,2007-06-16,15.14,2,23,13,F,6.4,20.8
137,2007-06-16,15.14,2,23,13,M,5.8,19.5
138,2007-06-16,15.14,2,23,13,M,5.8,19.3
139,2007-06-16,15.14,2,23,13,F,6,20.5
140,2007-06-16,15.14,2,23,13,M,5.8,20
141,2007-06-17,16.65,2,21,13,F,8,21.3
142,2007-06-17,16.65,2,21,13,M,7.7,20.5
143,2007-06-17,16.65,2,21,13,M,8.1,20.4
144,2007-06-17,16.65,2,21,13,M,7.5,22
145,2007-06-17,16.65,2,21,13,F,8.2,20.8
146,2007-06-17,16.65,2,21,13,F,7.5,20.8
147,2007-06-17,16.65,2,21,13,M,8.5,20.5
148,2007-06-17,16.65,2,26,13,M,5.7,20.3
149,2007-06-17,16.65,2,26,13,M,6.2,20.7
150,2007-06-17,16.65,2,26,13,M,5.6,19.7
151,2007-06-17,16.65,2,26,13,F,5.9,20.8
152,2007-06-17,16.65,2,26,13,M,5.3,20.3
153,2007-06-17,16.65,2,26,13,M,5.9,19.8
154,2007-06-18,17.81,2,22,13,F,7,20.1
155,2007-06-18,17.81,2,22,13,F,6.2,21
156,2007-06-18,17.81,2,22,13,M,6.7,20.3
157,2007-06-18,17.81,2,22,13,F,6.6,20.4
158,2007-06-18,17.81,2,22,13,M,6.8,20.2
159,2007-06-24,16.55,2,25,13,M,6.4,20.1
160,2007-06-24,16.55,2,25,13,F,6.1,20.4
161,2007-06-24,16.55,2,25,13,M,6,20
162,2007-06-24,16.55,2,25,13,F,6.1,20.1
163,2007-06-24,16.55,2,25,13,M,6.2,20.1
164,2007-06-24,16.55,2,25,13,F,6.2,20.2
165,2007-06-25,16.01,2,24,12.5,M,4.4,18.8
166,2007-06-25,16.01,2,24,13,M,4.9,19.4
167,2007-06-27,12.14,2,382,14,F,8.4,20.6
168,2007-06-27,12.14,2,382,14,M,7.9,22.3
169,2007-06-27,12.14,2,382,14,F,8.7,21.6
170,2007-06-27,12.14,2,382,14,F,8.2,21.5
171,2007-06-27,12.14,2,382,14,F,7.7,21.5
172,2007-06-27,12.14,2,382,14,F,8.2,22.8
173,2007-06-30,16.10,2,27,13,M,6.5,20.1
174,2007-06-30,16.10,2,27,13,M,6.7,20.4
175,2007-06-30,16.10,2,27,13,F,6.5,20.6
176,2007-06-30,16.10,2,27,13,M,6.8,20.5
177,2007-06-30,16.10,2,27,13,F,6.5,23.1
178,2007-06-30,16.10,2,27,13,F,6.6,21.1
179,2007-06-30,16.10,2,27,13,F,6.3,19.9
180,2007-06-30,16.10,2,28,13,M,4.7,19.9
181,2007-06-30,16.10,2,28,13,M,4.7,19.2
182,2007-06-30,16.10,2,30,13,M,8.1,20.1
183,2007-06-30,16.10,2,30,13,F,7.9,20.7
184,2007-06-30,16.10,2,30,13,M,7.8,21
185,2007-06-30,16.10,2,30,13,F,8.2,19.6
186,2007-07-02,14.97,2,31,12,M,6.2,19.8
187,2007-07-02,14.97,2,31,12,M,7,20.5
188,2007-07-02,14.97,2,31,12,M,6.8,19.5
189,2007-07-02,14.97,2,31,12,F,6.2,19.7
190,2007-07-02,14.97,2,31,12,F,5.7,19.2
191,2007-07-03,14.09,2,32,13,F,6.7,19.5
192,2007-07-03,14.09,2,32,13,M,7.4,20.2
193,2007-07-03,14.09,2,386,12,M,6.4,20.4
194,2007-07-03,14.09,2,386,12,M,6.3,21.7
195,2007-07-03,14.09,2,386,12,M,6.7,20
196,2007-07-03,14.09,2,386,12,M,6.5,20.7
197,2007-07-03,14.09,2,386,12,M,6,19.7
198,2007-07-03,14.09,2,386,12,F,6.4,20.2
199,2007-07-03,14.09,2,384,12,F,7,20.3
200,2007-07-03,14.09,2,29,13,M,6.2,20.2
201,2007-07-03,14.09,2,29,13,F,5.9,21
202,2007-07-03,14.09,2,29,13,M,6.3,20.9
203,2007-07-03,14.09,2,29,13,M,6,20.4
204,2007-07-03,14.09,2,29,13,M,6.2,21.2
205,2007-07-03,14.09,2,29,13,M,6.4,20.4
206,2007-07-03,14.09,2,33,13,M,6.3,20.6
207,2007-07-03,14.09,2,33,13,M,6.5,20.5
208,2007-07-03,14.09,2,33,13,F,5.8,19.8
209,2007-07-03,14.09,2,33,13,M,6.2,20.4
210,2007-07-03,14.09,2,33,13,M,6.2,20.4
211,2007-07-03,14.09,2,33,13,M,6,20.7
212,2007-07-03,14.09,2,385,12,F,5.6,20
213,2007-07-03,14.09,2,385,12,M,6.2,20.1
214,2007-07-03,14.09,2,385,12,F,5.9,19.6
215,2007-07-03,14.09,2,385,12,F,5.3,18.5
216,2007-07-03,14.09,2,385,12,M,5.8,18.9
217,2007-07-03,14.09,2,385,12,M,6,20.1
218,2007-07-03,14.09,2,385,12,F,5.6,19.4
219,2007-07-03,14.09,2,385,12,M,2.1,15.8
220,2007-07-03,14.09,2,385,12,F,5.5,19.1
221,2007-07-11,12.28,2,383,13,M,7.1,20.7
222,2007-07-11,12.28,2,383,13,F,7.1,20
223,2007-07-11,12.28,2,383,13,F,6.9,19.7
224,2007-07-11,12.28,2,383,13,F,7.1,20.4
225,2007-07-11,12.28,2,383,13,F,7.9,19
226,2007-07-11,12.28,2,383,13,M,6.8,18.8
227,2007-07-11,12.28,2,383,13,F,7,20.3
228,2007-07-11,12.28,2,383,13,M,7.7,20
229,2007-07-11,12.28,2,383,13,M,7.2,19.7
230,2007-07-11,12.28,2,383,13,F,6.9,20.1
231,2007-07-11,12.28,2,388,12,F,6,19.3
232,2007-07-11,12.28,2,388,12,F,6.4,19.8
233,2007-07-11,12.28,2,388,12,M,6.1,19.8
234,2007-07-14,18.98,2,387,13,M,6.2,19.6
235,2007-07-14,18.98,2,387,13,M,6.6,19.7
236,2007-07-14,18.98,2,387,13,M,6.7,21.7
237,2007-07-14,18.98,2,387,13,M,6.9,18.6
238,2007-07-14,18.98,2,387,13,F,6.6,20.6
239,2007-07-14,18.98,2,387,13,F,6.4,19.1
240,2007-07-15,20.82,2,34,13,M,7.1,20.5
241,2007-07-22,16.05,2,389,13,F,6.4,20.3
242,2007-07-22,16.05,2,389,13,M,6,20.9
243,2007-07-22,16.05,2,389,13,F,6.2,21
244,2007-07-22,16.05,2,389,13,F,6.4,20.6
245,2007-07-22,16.05,2,389,13,M,6.1,19.7
246,2007-07-22,16.05,2,390,12,M,5.4,19.1
247,2007-07-22,16.05,2,390,12,F,5.8,19.8
248,2007-07-22,16.05,2,390,12,F,6.4,20.5
249,2007-07-22,16.05,2,390,12,F,6.4,19.9
250,2007-07-22,16.05,2,390,12,F,6.1,19.5
251,2007-07-23,16.80,2,35,13,M,6.1,19.1
252,2007-07-23,16.80,2,35,13,M,6,20
253,2007-07-23,16.80,2,35,13,M,5.5,19.6
254,2007-07-23,16.80,2,390,13,F,5.9,20.5
255,2007-07-23,16.80,2,389,14,M,7,22.3
256,2007-07-28,18.52,2,37,13,M,6,20
257,2007-07-28,18.52,2,37,13,M,6.2,19.8
258,2007-07-28,18.52,2,37,13,F,6,19.3
259,2007-07-28,18.52,2,37,13,F,6.3,20.6
260,2007-07-28,18.52,2,37,13,M,6.3,19.8
261,2007-07-28,18.52,2,37,13,F,6.4,20.3
262,2007-07-28,18.52,2,37,13,M,6.4,20.2
263,2007-07-28,18.52,2,38,13,F,7.2,20.3
264,2007-07-28,18.52,2,38,13,M,6.9,20.7
265,2007-07-28,18.52,2,38,13,M,7.2,20.6
266,2007-07-28,18.52,2,38,13,M,7.5,20.8
267,2007-07-28,18.52,2,38,13,M,7.7,21.1
268,2007-07-28,18.52,2,38,13,M,7.7,21.2
269,2007-07-28,18.52,2,38,13,M,7.3,20.9
270,2007-07-28,18.52,2,38,13,M,7.2,19.9
271,2007-07-29,18.14,2,36,13,M,7.6,20.3
272,2007-07-29,18.14,2,36,13,F,8,20.8
273,2007-07-29,18.14,2,36,13,M,7.2,20.6
274,2007-08-28,17.94,2,45,13,M,6.9,21.3
275,2007-08-28,17.94,2,45,13,M,5.9,20.3
276,2007-08-28,17.94,2,45,13,M,6.6,22.1
277,2007-08-28,17.94,2,45,13,F,6.5,21.3
278,2007-08-28,17.94,2,42,13,M,6.4,21.3
279,2007-08-28,17.94,2,42,13,M,6.9,21.2
280,2007-08-28,17.94,2,42,13,F,5.9,21
281,2007-08-28,17.94,2,391,13,F,5.8,17.9
282,2007-09-01,14.79,2,44,13,F,9,21.6
283,2007-09-01,14.79,2,44,13,M,5.3,20.4
284,2007-09-01,14.79,2,40,12,M,5.4,19.2
285,2007-09-01,14.79,2,40,12,F,5.2,18.9
286,2007-09-01,14.79,2,40,12,M,4.9,19.3
287,2007-09-01,14.79,2,41,13,M,4.2,19.2
288,2007-09-01,14.79,2,41,13,F,4.5,21.2
289,2007-09-02,14.94,2,43,13,M,7,20.5
290,2007-09-02,14.94,2,43,13,F,6.4,20.9
291,2007-09-02,14.94,2,43,13,M,7,20.4
292,2007-09-02,14.94,2,43,13,M,7.1,20.4
293,2007-09-02,14.94,2,43,13,F,6.7,21.1
294,2007-09-02,14.94,2,43,13,F,6.7,20.2
295,2007-09-02,14.94,2,39,13,M,6.8,20.4
296,2007-09-02,14.94,2,39,13,M,7.4,20.3
297,2007-09-02,14.94,2,39,13,F,6.7,20.4
298,2007-09-09,14.04,1,392,12,F,7.8,18.7
299,2007-09-09,14.04,1,392,12,F,8.9,21.5
300,2007-09-09,14.04,1,392,12,M,7.9,19.8
301,2007-09-09,14.04,1,392,12,M,7.9,20.3
302,2007-09-09,14.04,1,392,12,M,8.6,20.4
303,2007-09-09,14.04,2,46,13,F,7.2,20.8
304,2007-09-09,14.04,2,46,13,F,6.8,18.6
305,2007-09-11,12.53,2,60,13,F,6.7,19.8
306,2007-09-11,12.53,2,60,13,M,6.5,21
307,2007-09-11,12.53,2,60,13,F,6.6,20.3
308,2007-09-11,12.53,2,60,13,M,6.6,18.7
309,2007-09-12,12.20,2,47,13,M,7.4,21
310,2007-09-12,12.20,2,47,13,F,7.1,20
311,2007-09-12,12.20,2,47,13,F,7.3,21.1
312,2007-09-12,12.20,2,47,13,M,7,21.1
313,2007-09-12,12.20,2,47,13,F,7.3,21.6
314,2007-09-17,16.97,1,49,13,M,5.2,19.8
315,2007-09-19,10.06,1,48,14,M,5.8,21.1
316,2007-09-19,10.06,1,48,14,M,5.9,20.3
317,2007-09-19,10.06,1,48,14,M,6,20.9
318,2007-09-19,10.06,1,48,14,F,5.9,20.6
319,2007-09-19,10.06,1,48,14,F,5.9,20.5
320,2007-09-26,9.80,1,50,13,F,7.8,20.5
321,2007-09-26,9.80,1,50,13,F,8.1,20.3
322,2007-09-26,9.80,1,50,13,F,8,20.6
323,2007-10-09,10.78,2,393,13,M,8.3,20
324,2007-10-09,10.78,2,393,13,M,8.6,20.5
325,2007-10-09,10.78,2,393,13,M,8.7,20.6
326,2007-10-09,10.78,2,393,13,M,8.8,20.5
327,2007-10-09,10.78,2,393,13,F,9.1,21.2
328,2007-10-09,10.78,2,393,13,F,8.4,20.6
329,2007-10-09,10.78,2,393,13,M,7.6,20.1
330,2007-10-15,10.90,2,136,13,F,5.8,19.4
331,2007-10-15,10.90,2,136,13,F,5.7,17.7
332,2007-10-15,10.90,2,136,13,M,6,18.9
333,2007-10-15,10.90,2,136,13,M,5.5,19.2
334,2007-10-15,10.90,2,136,13,F,5.9,18
335,2007-10-15,10.90,2,136,13,F,5.7,18.7
336,2007-10-18,9.91,2,451,13,F,6.3,20.1
337,2007-10-18,9.91,2,451,13,F,5.8,19.4
338,2007-10-18,9.91,2,451,13,F,6,19.9
339,2007-10-18,9.91,2,451,13,F,6.1,20.3
340,2007-11-06,5.93,2,51,12,F,4.7,18.3
341,2007-11-06,5.93,2,51,12,M,4.8,18
342,2007-11-06,5.93,2,51,12,M,4.4,17.2
343,2007-11-06,5.93,2,51,12,F,4.2,17.9
344,2007-11-06,5.93,2,51,12,M,4.5,18
345,2007-11-08,7.12,1,54,13,M,6.9,19.6
346,2007-11-08,7.12,1,54,13,M,7.3,20.4
347,2007-11-08,7.12,1,53,13,M,6.3,19.1
348,2007-11-08,7.12,1,53,13,M,6.6,19.9
349,2007-11-08,7.12,1,53,13,M,6.3,19
350,2007-11-08,7.12,1,53,13,F,6.3,19.3
351,2007-11-08,7.12,1,53,13,M,6,19.1
352,2007-11-08,7.12,1,53,13,F,6.1,19.4
353,2007-11-08,7.12,1,53,13,F,6.2,19.1
354,2007-11-08,7.12,1,53,13,F,6.8,20.3
355,2007-11-08,7.12,1,53,13,F,5.9,19
356,2007-11-08,7.12,1,53,13,F,6.4,20.7
357,2007-11-08,7.12,1,53,13,M,7,20.6
358,2007-11-08,7.12,1,52,13,M,7.5,20.9
359,2007-11-08,7.12,1,52,13,M,7.5,20.5
360,2007-12-04,4.30,1,394,13,M,7.3,19.5
361,2007-12-04,4.30,1,394,13,F,7.4,20.3
362,2007-12-04,4.30,1,394,13,F,6.9,20.6
363,2007-12-08,4.45,2,55,13,F,6.4,20.1
364,2007-12-08,4.45,2,55,13,M,6.2,20.9
365,2007-12-08,4.45,2,55,13,M,6.4,20.4
366,2007-12-08,4.45,2,55,13,M,5.9,20
367,2007-12-08,4.45,2,55,13,F,6.2,20.2
368,2007-12-08,4.45,2,55,13,F,6,19.5
369,2007-12-14,0.76,1,58,13,F,5.4,20.4
370,2007-12-14,0.76,1,58,13,F,5.4,19
371,2007-12-14,0.76,1,58,13,M,5.7,20.4
372,2007-12-14,0.76,1,58,13,M,5.7,20.1
373,2007-12-14,0.76,1,58,13,M,5.7,20.7
374,2007-12-14,0.76,1,56,13,M,7.6,20.5
375,2007-12-14,0.76,1,56,13,M,7.2,20.4
376,2007-12-14,0.76,1,56,13,F,7.8,20.3
377,2007-12-14,0.76,1,56,13,F,8.1,20.8
378,2007-12-14,0.76,1,56,13,F,7.4,20.7
379,2007-12-14,0.76,1,56,13,M,7.8,21.9
380,2007-12-22,-1.99,2,57,13,M,5.8,19.1
381,2007-12-22,-1.99,2,57,13,M,6.6,19.7
382,2007-12-22,-1.99,2,57,13,M,6,19.1
383,2007-12-22,-1.99,2,57,13,M,6,18.7
384,2007-12-24,-2.90,2,395,13,M,4.9,19.3
385,2007-12-24,-2.90,2,395,13,M,5,18.5
386,2007-12-24,-2.90,2,395,13,F,4.3,18
387,2007-12-24,-2.90,2,395,13,F,4,18.2
388,2007-12-28,-1.18,2,59,12,F,6,20.5
389,2007-12-28,-1.18,2,59,12,M,6.4,19.9
390,2007-12-28,-1.18,2,59,12,F,6.2,19.8
391,2007-12-28,-1.18,2,59,12,M,6.6,20.7
392,2007-12-28,-1.18,2,59,12,F,5.9,20.8
393,2008-02-02,2.38,1,62,13,M,7.6,20.5
394,2008-02-02,2.38,1,62,13,M,7.2,20.1
395,2008-02-02,2.38,1,62,13,F,6.6,20.7
396,2008-02-02,2.38,1,62,13,F,6.3,20
397,2008-02-02,2.38,1,62,13,F,6.4,19.9
398,2008-02-03,-0.34,1,61,13,M,8.4,21.6
399,2008-02-03,-0.34,1,396,14,M,5.7,19.9
400,2008-02-03,-0.34,1,397,12,M,4.5,19.1
401,2008-02-17,-0.87,2,398,13,F,7.7,20.4
402,2008-02-17,-0.87,2,398,13,F,7.1,19.8
403,2008-02-17,-0.87,2,398,13,M,6.4,19.9
404,2008-02-17,-0.87,2,398,13,M,6,19.8
405,2008-02-17,-0.87,2,399,12,F,6.2,18.7
406,2008-02-18,0.19,2,63,13,M,7.3,21.1
407,2008-02-18,0.19,2,63,13,F,6.5,21.1
408,2008-02-18,0.19,2,63,13,M,6.4,20.1
409,2008-02-18,0.19,2,63,13,F,6.9,20.2
410,2008-02-18,0.19,2,63,13,F,6.2,20.5
411,2008-02-18,0.19,2,63,13,F,6.3,20.2
412,2008-02-18,0.19,2,63,13,F,6.3,19.6
413,2008-02-24,8.16,2,64,13,F,6,19.7
414,2008-02-24,8.16,2,64,13,F,6.4,19.7
415,2008-02-24,8.16,2,64,13,F,6.6,20.2
416,2008-02-24,8.16,2,64,12.5,M,5.8,19.8
417,2008-03-05,NA,1,65,12,M,5.7,19.7
418,2008-03-05,NA,1,65,12,F,5.8,19.9
419,2008-03-05,NA,1,65,12,F,5.8,19.4
420,2008-03-05,NA,1,65,12,M,6,19.9
421,2008-03-05,NA,1,66,14,M,6.8,20.5
422,2008-03-05,NA,1,66,14,F,6.5,20
423,2008-03-05,NA,1,66,14,M,6.6,20
424,2008-03-05,NA,1,66,14,F,6.9,20.3
425,2008-03-05,NA,1,66,14,M,6,19.5
426,2008-03-05,NA,1,66,14,F,6.3,19.8
427,2008-03-09,NA,2,400,12,M,7.7,20.3
428,2008-03-09,NA,2,400,12,F,7.2,20.4
429,2008-03-09,NA,2,400,12,M,7.3,20.1
430,2008-03-09,NA,2,400,12,M,7,19.9
431,2008-03-09,NA,2,67,12,M,5.8,20
432,2008-03-12,NA,2,70,12,F,6,19.7
433,2008-03-12,NA,2,70,12,F,5.7,18.5
434,2008-03-12,NA,2,70,12,F,5.4,18.3
435,2008-03-12,NA,2,68,12,F,5.9,19.8
436,2008-03-12,NA,2,68,12,M,6.2,20.4
437,2008-03-12,NA,2,68,12,M,6.1,19.8
438,2008-03-12,NA,2,68,12,M,5.7,19.4
439,2008-03-12,NA,2,68,12,F,3.6,17
440,2008-03-16,NA,2,69,12,F,6.3,19.3
441,2008-03-16,NA,2,401,12,M,5.5,18.5
442,2008-03-16,NA,2,401,12,F,5.2,18
443,2008-03-16,NA,2,401,12,F,5.7,19.2
444,2008-03-18,NA,1,403,13,F,6.7,20
445,2008-03-18,NA,1,72,13,F,6.1,19.4
446,2008-03-18,NA,1,72,13,F,6,19.4
447,2008-03-18,NA,1,72,13,F,6.1,19.8
448,2008-03-18,NA,1,72,13,F,6.4,19.7
449,2008-03-19,NA,2,402,12,F,5.5,19.3
450,2008-03-21,NA,2,71,13,M,6.7,19.3
451,2008-03-21,NA,2,71,13,F,7.2,20.4
452,2008-03-21,NA,2,71,13,F,7.1,20.4
453,2008-03-21,NA,2,71,13,M,6.7,20.1
454,2008-03-24,NA,2,73,13,M,6.9,19.2
455,2008-03-24,NA,2,73,13,M,7.6,18.5
456,2008-03-24,NA,2,76,13,M,8.4,19.8
457,2008-03-24,NA,2,76,13,F,8.1,20.4
458,2008-03-24,NA,2,76,13,F,8.4,19.7
459,2008-03-24,NA,2,76,13,F,8.8,20.7
460,2008-03-24,NA,2,76,13,F,8,17.9
461,2008-03-24,NA,2,76,13,M,8.2,21
462,2008-03-27,NA,2,404,12,F,7.3,17.6
463,2008-03-27,NA,2,404,12,M,6.5,18.8
464,2008-03-27,NA,2,404,12,F,6.8,19.1
465,2008-03-27,NA,2,404,12,F,7.2,20.1
466,2008-03-27,NA,2,75,13,F,4.4,19.6
467,2008-03-27,NA,2,405,13,M,6.2,19.7
468,2008-03-27,NA,2,405,13,M,6.8,19.5
469,2008-03-27,NA,2,405,13,F,6.6,19.5
470,2008-03-27,NA,2,405,13,F,7.1,18.5
471,2008-03-27,NA,2,405,13,F,6.9,19.9
472,2008-03-27,NA,2,405,13,M,7,20
473,2008-03-30,NA,2,406,13,F,7.1,20.6
474,2008-03-30,NA,2,406,13,M,7.6,21.4
475,2008-03-30,NA,2,406,13,M,7.9,19.6
476,2008-03-30,NA,2,406,13,F,6.6,19.7
477,2008-03-30,NA,2,406,13,M,6.3,20.4
478,2008-03-30,NA,2,406,13,F,6.8,18.2
479,2008-03-30,NA,2,406,13,F,6.8,20.2
480,2008-03-30,NA,2,406,13,M,6.3,19.9
481,2008-03-30,NA,2,406,13,M,6.9,19.7
482,2008-03-31,NA,2,74,13,F,5.9,19.4
483,2008-03-31,NA,2,74,13,M,6.3,19.5
484,2008-03-31,NA,2,74,13,M,5.5,19.5
485,2008-04-02,NA,1,410,13,F,7.1,21
486,2008-04-02,NA,1,410,13,F,6.6,20.6
487,2008-04-04,NA,1,80,13,M,7,20.2
488,2008-04-04,NA,1,80,13,F,7.1,20.2
489,2008-04-04,NA,1,80,13,M,6.7,20
490,2008-04-04,NA,1,80,13,F,7.7,20.4
